,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
4031,QUINCY,18,Distracted/Inattention,Not at junction,No controls,42.25242572,-70.98896386, D1: External distraction (outside the vehicle),NORFOLK,35.0,Bituminous concrete road,Good
4032,BOSTON,10,Diregarded traffic markings,Not at junction,No controls,42.3683215,-71.12373437," D1: Other activity, electronic device",SUFFOLK,35.0,Bituminous concrete road,Good
4033,WESTON,10,Tailgating,Not at junction,No controls,42.33725776,-71.28965907," D1: Other activity, electronic device",MIDDLESEX,65.0,Bituminous concrete road,Good
4034,CARVER,15,Tailgating,T-intersection,Stop signs,41.84594796,-70.74047461," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,35.0,Surface-treated road,Good
4035,CARVER,12,Tailgating,Driveway,No controls,41.92100254,-70.80343899, D1: External distraction (outside the vehicle),PLYMOUTH,15.0,Bituminous concrete road,Fair
4036,CARVER,13,Distracted/Inattention,T-intersection,No controls,41.86321673,-70.75017916, D1: Passenger,PLYMOUTH,35.0,Surface-treated road,Fair
4037,ASHBY,17,Distracted/Inattention,T-intersection,Stop signs,42.672331299999996,-71.81639594, D1: External distraction (outside the vehicle),MIDDLESEX,30.0,Surface-treated road,Fair
4038,BOSTON,16,Other causes,Y-intersection,Warning signs,42.35800451,-71.16189941, D1: External distraction (outside the vehicle),SUFFOLK,40.0,Bituminous concrete road,Good
4039,WINTHROP,17,Drowsey Driving,Not at junction,No controls,42.36225953,-70.97049097," D1: Other activity (searching, eating, personal hygiene, etc.)",SUFFOLK,30.0,Bituminous concrete road,Fair
4040,WALTHAM,17,Tailgating,T-intersection,No controls,42.37414326,-71.25730912, D1: External distraction (outside the vehicle),MIDDLESEX,35.0,Bituminous concrete road,Fair
4041,WALTHAM,13,Distracted/Inattention,T-intersection,No controls,42.36898208,-71.25203987," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,30.0,Surface-treated road,Deficient
4042,BROOKLINE,8,Diregarded traffic markings,Four-way intersection,Stop signs,42.30617,-71.16502," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Surface-treated road,Fair
4043,SHARON,0,Drowsey Driving,Not at junction,No controls,42.06852709,-71.1713932," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,40.0,Surface-treated road,Fair
4044,BROOKLINE,3,Reckless Driving,Four-way intersection,No controls,42.344919299999994,-71.12562272," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Bituminous concrete road,Good
4045,TAUNTON,19,Diregarded traffic markings,Not at junction,Traffic control signal,41.90459753,-71.07465505," D1: Other activity (searching, eating, personal hygiene, etc.)",BRISTOL,30.0,Bituminous concrete road,Good
4046,HAVERHILL,19,Other causes,T-intersection,Traffic control signal,42.80355854,-71.09740146," D1: Other activity, electronic device",ESSEX,35.0,Bituminous concrete road,Good
4047,HAVERHILL,6,Speeding,Not at junction,No controls,42.76313217,-71.0873234, D1: External distraction (outside the vehicle),ESSEX,30.0,Bituminous concrete road,Good
4048,HAVERHILL,19,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.75640093,-71.11467261, D1: External distraction (outside the vehicle),ESSEX,55.0,Bituminous concrete road,Good
4049,HAVERHILL,14,Other causes,Off-ramp,No controls,42.77389502,-71.11934115," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,45.0,Bituminous concrete road,Good
4050,HAVERHILL,17,Diregarded traffic markings,T-intersection,Stop signs,42.76965054,-71.11721929, D1: External distraction (outside the vehicle),ESSEX,30.0,Bituminous concrete road,Fair
4051,WHITMAN,8,Distracted/Inattention,Not at junction,No controls,42.07230974,-70.91115813, D1: External distraction (outside the vehicle),PLYMOUTH,40.0,Bituminous concrete road,Fair
